incoming,converted,n_incoming,n_converted,name,description,namespaces,query
CTNNA2,1496,1740,1,CTNNA2,catenin alpha 2 [Source:HGNC Symbol;Acc:HGNC:2510],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
FUNDC2P2,None,1741,1,None,None,,query_1
SUCLG1,8802,1742,1,SUCLG1,succinate-CoA ligase alpha subunit [Source:HGNC Symbol;Acc:HGNC:11449],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
DNAH6,1768,1743,1,DNAH6,dynein axonemal heavy chain 6 [Source:HGNC Symbol;Acc:HGNC:2951],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
TRABD2A,105374836,1744,1,TRABD2A,TraB domain containing 2A [Source:HGNC Symbol;Acc:HGNC:27013],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
TRABD2A,129293,1744,2,TRABD2A,TraB domain containing 2A [Source:HGNC Symbol;Acc:HGNC:27013],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
KCMF1,56888,1745,1,KCMF1,potassium channel modulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:20589],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
LINC01964,None,1746,1,None,None,,query_1
TCF7L1,83439,1747,1,TCF7L1,transcription factor 7 like 1 [Source:HGNC Symbol;Acc:HGNC:11640],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
TGOLN2,10618,1748,1,TGOLN2,trans-golgi network protein 2 [Source:HGNC Symbol;Acc:HGNC:15450],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CAPG,822,1749,1,CAPG,"capping actin protein, gelsolin like [Source:HGNC Symbol;Acc:HGNC:1474]","ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
SH2D6,284948,1750,1,SH2D6,SH2 domain containing 6 [Source:HGNC Symbol;Acc:HGNC:30439],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
GGCX,2677,1751,1,GGCX,gamma-glutamyl carboxylase [Source:HGNC Symbol;Acc:HGNC:4247],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
C2orf68,388969,1752,1,C2orf68,chromosome 2 open reading frame 68 [Source:HGNC Symbol;Acc:HGNC:34353],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
USP39,10713,1753,1,USP39,ubiquitin specific peptidase 39 [Source:HGNC Symbol;Acc:HGNC:20071],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
GNLY,10578,1754,1,GNLY,granulysin [Source:HGNC Symbol;Acc:HGNC:4414],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
ATOH8,84913,1755,1,ATOH8,atonal bHLH transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:24126],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
ST3GAL5,8869,1756,1,ST3GAL5,"ST3 beta-galactoside alpha-2,3-sialyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:10872]","ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
POLR1A,25885,1757,1,POLR1A,RNA polymerase I subunit A [Source:HGNC Symbol;Acc:HGNC:17264],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PTCD3,55037,1758,1,PTCD3,pentatricopeptide repeat domain 3 [Source:HGNC Symbol;Acc:HGNC:24717],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
IMMT,10989,1759,1,IMMT,inner membrane mitochondrial protein [Source:HGNC Symbol;Acc:HGNC:6047],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
REEP1,65055,1760,1,REEP1,receptor accessory protein 1 [Source:HGNC Symbol;Acc:HGNC:25786],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
KDM3A,55818,1761,1,KDM3A,lysine demethylase 3A [Source:HGNC Symbol;Acc:HGNC:20815],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
RNF103-CHMP3,100526767,1762,1,RNF103-CHMP3,RNF103-CHMP3 readthrough [Source:HGNC Symbol;Acc:HGNC:38847],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
RMND5A,64795,1763,1,RMND5A,required for meiotic nuclear division 5 homolog A [Source:HGNC Symbol;Acc:HGNC:25850],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CD8A,925,1764,1,CD8A,CD8a molecule [Source:HGNC Symbol;Acc:HGNC:1706],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CD8B,926,1765,1,CD8B,CD8b molecule [Source:HGNC Symbol;Acc:HGNC:1707],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CYTOR,112597,1766,1,CYTOR,cytoskeleton regulator RNA [Source:HGNC Symbol;Acc:HGNC:28717],"ENTREZGENE,HGNC,WIKIGENE",query_1
RGPD1,400966,1767,1,RGPD1,RANBP2 like and GRIP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:32414],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
KRCC1,51315,1768,1,KRCC1,lysine rich coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:28039],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
SMYD1,150572,1769,1,SMYD1,SET and MYND domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20986],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
THNSL2,55258,1770,1,THNSL2,threonine synthase like 2 [Source:HGNC Symbol;Acc:HGNC:25602],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
EIF2AK3,9451,1771,1,EIF2AK3,eukaryotic translation initiation factor 2 alpha kinase 3 [Source:HGNC Symbol;Acc:HGNC:3255],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
ANKRD36BP2,None,1772,1,None,None,,query_1
LOC101927050,None,1773,1,None,None,,query_1
GGT8P,None,1774,1,None,None,,query_1
BMS1P14,None,1775,1,None,None,,query_1
MAL,4118,1776,1,MAL,"mal, T cell differentiation protein [Source:HGNC Symbol;Acc:HGNC:6817]","ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
KCNIP3,30818,1777,1,KCNIP3,potassium voltage-gated channel interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:15523],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
TRIM43B,653192,1778,1,TRIM43B,tripartite motif containing 43B [Source:HGNC Symbol;Acc:HGNC:37146],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
ANKRD36C,400986,1779,1,ANKRD36C,ankyrin repeat domain 36C [Source:HGNC Symbol;Acc:HGNC:32946],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
FAHD2CP,None,1780,1,None,None,,query_1
ADRA2B,151,1781,1,ADRA2B,adrenoceptor alpha 2B [Source:HGNC Symbol;Acc:HGNC:282],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
ASTL,431705,1782,1,ASTL,astacin like metalloendopeptidase [Source:HGNC Symbol;Acc:HGNC:31704],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
NCAPH,23397,1783,1,NCAPH,non-SMC condensin I complex subunit H [Source:HGNC Symbol;Acc:HGNC:1112],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
NEURL3,93082,1784,1,NEURL3,neuralized E3 ubiquitin protein ligase 3 [Source:HGNC Symbol;Acc:HGNC:25162],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
LMAN2L,81562,1785,1,LMAN2L,"lectin, mannose binding 2 like [Source:HGNC Symbol;Acc:HGNC:19263]","ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CNNM4,26504,1786,1,CNNM4,cyclin and CBS domain divalent metal cation transport mediator 4 [Source:HGNC Symbol;Acc:HGNC:105],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
FAM178B,51252,1787,1,FAM178B,family with sequence similarity 178 member B [Source:HGNC Symbol;Acc:HGNC:28036],"ENTREZGENE,HGNC,WIKIGENE",query_1
FAHD2B,151313,1788,1,FAHD2B,fumarylacetoacetate hydrolase domain containing 2B [Source:HGNC Symbol;Acc:HGNC:25318],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
ANKRD36,375248,1789,1,ANKRD36,ankyrin repeat domain 36 [Source:HGNC Symbol;Acc:HGNC:24079],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
ANKRD36B,57730,1790,1,ANKRD36B,ankyrin repeat domain 36B [Source:HGNC Symbol;Acc:HGNC:29333],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
LINC01125,None,1791,1,None,None,,query_1
VWA3B,200403,1792,1,VWA3B,von Willebrand factor A domain containing 3B [Source:HGNC Symbol;Acc:HGNC:28385],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
INPP4A,3631,1793,1,INPP4A,inositol polyphosphate-4-phosphatase type I A [Source:HGNC Symbol;Acc:HGNC:6074],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
MGAT4A,11320,1794,1,MGAT4A,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A [Source:HGNC Symbol;Acc:HGNC:7047]","ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
KIAA1211L,343990,1795,1,KIAA1211L,KIAA1211 like [Source:HGNC Symbol;Acc:HGNC:33454],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
TSGA10,80705,1796,1,TSGA10,testis specific 10 [Source:HGNC Symbol;Acc:HGNC:14927],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
MRPL30,51263,1797,1,MRPL30,mitochondrial ribosomal protein L30 [Source:HGNC Symbol;Acc:HGNC:14036],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
LYG1,129530,1798,1,LYG1,lysozyme g1 [Source:HGNC Symbol;Acc:HGNC:27014],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
EIF5B,9669,1799,1,EIF5B,eukaryotic translation initiation factor 5B [Source:HGNC Symbol;Acc:HGNC:30793],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
REV1,51455,1800,1,REV1,REV1 DNA directed polymerase [Source:HGNC Symbol;Acc:HGNC:14060],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
AFF3,3899,1801,1,AFF3,AF4/FMR2 family member 3 [Source:HGNC Symbol;Acc:HGNC:6473],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
LINC01104,None,1802,1,None,None,,query_1
LONRF2,164832,1803,1,LONRF2,LON peptidase N-terminal domain and ring finger 2 [Source:HGNC Symbol;Acc:HGNC:24788],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PDCL3,79031,1804,1,PDCL3,phosducin like 3 [Source:HGNC Symbol;Acc:HGNC:28860],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
NPAS2,4862,1805,1,NPAS2,neuronal PAS domain protein 2 [Source:HGNC Symbol;Acc:HGNC:7895],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
TBC1D8,11138,1806,1,TBC1D8,TBC1 domain family member 8 [Source:HGNC Symbol;Acc:HGNC:17791],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CNOT11,55571,1807,1,CNOT11,CCR4-NOT transcription complex subunit 11 [Source:HGNC Symbol;Acc:HGNC:25217],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
SNORD89,None,1808,1,None,None,,query_1
RNF149,284996,1809,1,RNF149,ring finger protein 149 [Source:HGNC Symbol;Acc:HGNC:23137],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CREG2,200407,1810,1,CREG2,cellular repressor of E1A stimulated genes 2 [Source:HGNC Symbol;Acc:HGNC:14272],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
RFX8,731220,1811,1,RFX8,"RFX family member 8, lacking RFX DNA binding domain [Source:HGNC Symbol;Acc:HGNC:37253]","ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
MAP4K4,9448,1812,1,MAP4K4,mitogen-activated protein kinase kinase kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6866],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
IL1R2,7850,1813,1,IL1R2,interleukin 1 receptor type 2 [Source:HGNC Symbol;Acc:HGNC:5994],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
IL1R1,3554,1814,1,IL1R1,interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
IL1RL2,8808,1815,1,IL1RL2,interleukin 1 receptor like 2 [Source:HGNC Symbol;Acc:HGNC:5999],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
IL18R1,8809,1816,1,IL18R1,interleukin 18 receptor 1 [Source:HGNC Symbol;Acc:HGNC:5988],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
IL18RAP,8807,1817,1,IL18RAP,interleukin 18 receptor accessory protein [Source:HGNC Symbol;Acc:HGNC:5989],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
SLC9A4,389015,1818,1,SLC9A4,solute carrier family 9 member A4 [Source:HGNC Symbol;Acc:HGNC:11077],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
SLC9A2,6549,1819,1,SLC9A2,solute carrier family 9 member A2 [Source:HGNC Symbol;Acc:HGNC:11072],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
MFSD9,84804,1820,1,MFSD9,major facilitator superfamily domain containing 9 [Source:HGNC Symbol;Acc:HGNC:28158],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
TMEM182,130827,1821,1,TMEM182,transmembrane protein 182 [Source:HGNC Symbol;Acc:HGNC:26391],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
LINC01935,None,1822,1,None,None,,query_1
LINC01102,None,1823,1,None,None,,query_1
LINC01114,None,1824,1,None,None,,query_1
LINC01158,None,1825,1,None,None,,query_1
POU3F3,5455,1826,1,POU3F3,POU class 3 homeobox 3 [Source:HGNC Symbol;Acc:HGNC:9216],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
LOC102724691,None,1827,1,None,None,,query_1
UTAT33,None,1828,1,None,None,,query_1
TGFBRAP1,9392,1829,1,TGFBRAP1,transforming growth factor beta receptor associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16836],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
C2orf49,79074,1830,1,C2orf49,chromosome 2 open reading frame 49 [Source:HGNC Symbol;Acc:HGNC:28772],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
NCK2,8440,1831,1,NCK2,NCK adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:7665],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
UXS1,80146,1832,1,UXS1,UDP-glucuronate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:17729],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PLGLA,None,1833,1,None,None,,query_1
RGPD3,653489,1834,1,RGPD3,RANBP2 like and GRIP domain containing 3 [Source:HGNC Symbol;Acc:HGNC:32416],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CD8B2,927,1835,1,CD8B2,CD8b2 molecule [Source:HGNC Symbol;Acc:HGNC:1708],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
ST6GAL2,84620,1836,1,ST6GAL2,"ST6 beta-galactoside alpha-2,6-sialyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10861]","ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
MIR548AU,None,1837,1,None,None,,query_1
LINC01886,None,1838,1,None,None,,query_1
GACAT1,None,1839,1,None,None,,query_1
RGPD4,285190,1840,1,RGPD4,RANBP2 like and GRIP domain containing 4 [Source:HGNC Symbol;Acc:HGNC:32417],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
SLC5A7,60482,1841,1,SLC5A7,solute carrier family 5 member 7 [Source:HGNC Symbol;Acc:HGNC:14025],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
LINC01594,None,1842,1,None,None,,query_1
SULT1C3,442038,1843,1,SULT1C3,sulfotransferase family 1C member 3 [Source:HGNC Symbol;Acc:HGNC:33543],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
SULT1C2P1,None,1844,1,None,None,,query_1
GCC2,9648,1845,1,GCC2,GRIP and coiled-coil domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23218],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
GCC2-AS1,None,1846,1,None,None,,query_1
LIMS1,3987,1847,1,LIMS1,LIM zinc finger domain containing 1 [Source:HGNC Symbol;Acc:HGNC:6616],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
RANBP2,5903,1848,1,RANBP2,RAN binding protein 2 [Source:HGNC Symbol;Acc:HGNC:9848],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CCDC138,165055,1849,1,CCDC138,coiled-coil domain containing 138 [Source:HGNC Symbol;Acc:HGNC:26531],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
EDAR,10913,1850,1,EDAR,ectodysplasin A receptor [Source:HGNC Symbol;Acc:HGNC:2895],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
SH3RF3-AS1,None,1851,1,None,None,,query_1
SH3RF3,344558,1852,1,SH3RF3,SH3 domain containing ring finger 3 [Source:HGNC Symbol;Acc:HGNC:24699],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
SEPT10,151011,1853,1,SEPTIN10,septin 10 [Source:HGNC Symbol;Acc:HGNC:14349],UNIPROT_GN,query_1
MALL,7851,1854,1,MALL,"mal, T cell differentiation protein like [Source:HGNC Symbol;Acc:HGNC:6818]","ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
NPHP1,4867,1855,1,NPHP1,nephrocystin 1 [Source:HGNC Symbol;Acc:HGNC:7905],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
BUB1,699,1856,1,BUB1,BUB1 mitotic checkpoint serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1148],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
ACOXL,55289,1857,1,ACOXL,acyl-CoA oxidase like [Source:HGNC Symbol;Acc:HGNC:25621],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
MIR4435-2HG,None,1858,1,None,None,,query_1
ANAPC1,64682,1859,1,ANAPC1,anaphase promoting complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19988],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
MERTK,10461,1860,1,MERTK,"MER proto-oncogene, tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7027]","ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
FBLN7,129804,1861,1,FBLN7,fibulin 7 [Source:HGNC Symbol;Acc:HGNC:26740],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
ZC3H8,84524,1862,1,ZC3H8,zinc finger CCCH-type containing 8 [Source:HGNC Symbol;Acc:HGNC:30941],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
ZC3H6,376940,1863,1,ZC3H6,zinc finger CCCH-type containing 6 [Source:HGNC Symbol;Acc:HGNC:24762],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
TTL,150465,1864,1,TTL,tubulin tyrosine ligase [Source:HGNC Symbol;Acc:HGNC:21586],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
POLR1B,84172,1865,1,POLR1B,RNA polymerase I subunit B [Source:HGNC Symbol;Acc:HGNC:20454],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
SLC20A1,6574,1866,1,SLC20A1,solute carrier family 20 member 1 [Source:HGNC Symbol;Acc:HGNC:10946],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
NT5DC4,284958,1867,1,NT5DC4,5'-nucleotidase domain containing 4 [Source:HGNC Symbol;Acc:HGNC:27678],"ENTREZGENE,HGNC,WIKIGENE",query_1
CKAP2L,150468,1868,1,CKAP2L,cytoskeleton associated protein 2 like [Source:HGNC Symbol;Acc:HGNC:26877],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
IL1A,3552,1869,1,IL1A,interleukin 1 alpha [Source:HGNC Symbol;Acc:HGNC:5991],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
IL1B,3553,1870,1,IL1B,interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
IL37,27178,1871,1,IL37,interleukin 37 [Source:HGNC Symbol;Acc:HGNC:15563],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
IL36B,27177,1872,1,IL36B,interleukin 36 beta [Source:HGNC Symbol;Acc:HGNC:15564],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
IL36RN,26525,1873,1,IL36RN,interleukin 36 receptor antagonist [Source:HGNC Symbol;Acc:HGNC:15561],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
IL1F10,84639,1874,1,IL1F10,interleukin 1 family member 10 [Source:HGNC Symbol;Acc:HGNC:15552],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
IL1RN,3557,1875,1,IL1RN,interleukin 1 receptor antagonist [Source:HGNC Symbol;Acc:HGNC:6000],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PSD4,23550,1876,1,PSD4,pleckstrin and Sec7 domain containing 4 [Source:HGNC Symbol;Acc:HGNC:19096],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PAX8-AS1,None,1877,1,None,None,,query_1
PAX8,7849,1878,1,PAX8,paired box 8 [Source:HGNC Symbol;Acc:HGNC:8622],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CBWD2,150472,1879,1,CBWD2,COBW domain containing 2 [Source:HGNC Symbol;Acc:HGNC:17907],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
WASH2P,None,1880,1,None,None,,query_1
RPL23AP7,None,1881,1,None,None,,query_1
RABL2A,11159,1882,1,RABL2A,"RAB, member of RAS oncogene family like 2A [Source:HGNC Symbol;Acc:HGNC:9799]","ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
SLC35F5,80255,1883,1,SLC35F5,solute carrier family 35 member F5 [Source:HGNC Symbol;Acc:HGNC:23617],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
LOC101060091,None,1884,1,None,None,,query_1
ACTR3,10096,1885,1,ACTR3,actin related protein 3 [Source:HGNC Symbol;Acc:HGNC:170],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
DPP10,57628,1886,1,DPP10,dipeptidyl peptidase like 10 [Source:HGNC Symbol;Acc:HGNC:20823],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
DPP10-AS3,None,1887,1,None,None,,query_1
DDX18,8886,1888,1,DDX18,DEAD-box helicase 18 [Source:HGNC Symbol;Acc:HGNC:2741],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CCDC93,54520,1889,1,CCDC93,coiled-coil domain containing 93 [Source:HGNC Symbol;Acc:HGNC:25611],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
INSIG2,51141,1890,1,INSIG2,insulin induced gene 2 [Source:HGNC Symbol;Acc:HGNC:20452],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
MARCO,8685,1891,1,MARCO,macrophage receptor with collagenous structure [Source:HGNC Symbol;Acc:HGNC:6895],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
STEAP3,55240,1892,1,STEAP3,STEAP3 metalloreductase [Source:HGNC Symbol;Acc:HGNC:24592],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
C2orf76,130355,1893,1,C2orf76,chromosome 2 open reading frame 76 [Source:HGNC Symbol;Acc:HGNC:27017],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
TMEM37,140738,1894,1,TMEM37,transmembrane protein 37 [Source:HGNC Symbol;Acc:HGNC:18216],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
SCTR,6344,1895,1,SCTR,secretin receptor [Source:HGNC Symbol;Acc:HGNC:10608],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CFAP221,200373,1896,1,CFAP221,cilia and flagella associated protein 221 [Source:HGNC Symbol;Acc:HGNC:33720],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PTPN4,5775,1897,1,PTPN4,protein tyrosine phosphatase non-receptor type 4 [Source:HGNC Symbol;Acc:HGNC:9656],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
EPB41L5,57669,1898,1,EPB41L5,erythrocyte membrane protein band 4.1 like 5 [Source:HGNC Symbol;Acc:HGNC:19819],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
RALB,5899,1899,1,RALB,RAS like proto-oncogene B [Source:HGNC Symbol;Acc:HGNC:9840],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
GLI2,2736,1900,1,GLI2,GLI family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4318],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
TFCP2L1,29842,1901,1,TFCP2L1,transcription factor CP2 like 1 [Source:HGNC Symbol;Acc:HGNC:17925],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CLASP1,23332,1902,1,CLASP1,cytoplasmic linker associated protein 1 [Source:HGNC Symbol;Acc:HGNC:17088],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
NIFK-AS1,None,1903,1,None,None,,query_1
CNTNAP5,129684,1904,1,CNTNAP5,contactin associated protein like 5 [Source:HGNC Symbol;Acc:HGNC:18748],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
GYPC,2995,1905,1,GYPC,glycophorin C (Gerbich blood group) [Source:HGNC Symbol;Acc:HGNC:4704],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
BIN1,274,1906,1,BIN1,bridging integrator 1 [Source:HGNC Symbol;Acc:HGNC:1052],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CYP27C1,339761,1907,1,CYP27C1,cytochrome P450 family 27 subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:33480],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
